Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,8135,
3,Carlos Alcaraz,21,ESP,7510,
4,Taylor Fritz,27,USA,4900,
5,Casper Ruud,26,NOR,4325,
6,Daniil Medvedev,29,RUS,4030,
7,Novak Djoković,37,SRB,3900,
8,Alex de Minaur,26,AUS,3785,
9,Andrey Rublev,27,RUS,3670,1.0
10,Tommy Paul,27,USA,3280,-1.0
11,Stefanos Tsitsipas,26,GRE,3005,
12,Jack Draper,23,GBR,3000,4.0
13,Holger Rune,21,DEN,2970,-1.0
14,Ben Shelton,22,USA,2930,-1.0
15,Ugo Humbert,26,FRA,2825,-1.0
16,Grigor Dimitrov,33,BUL,2745,-1.0
17,Lorenzo Musetti,22,ITA,2650,
18,Frances Tiafoe,27,USA,2485,
19,Arthur Fils,20,FRA,2355,
20,Hubert Hurkacz,28,POL,2265,
21,Félix Auger-Aliassime,24,CAN,2155,2.0
22,Jiří Lehečka,23,CZE,2035,3.0
23,Sebastian Korda,24,USA,2000,-1.0
24,Karen Khachanov,28,RUS,1960,-3.0
25,Tomáš Macháč,24,CZE,1855,-1.0
26,Francisco Cerúndolo,26,ARG,1725,
27,Alexei Popyrin,25,AUS,1700,
28,Alejandro Tabilo,27,CHI,1690,
29,Giovanni Mpetshi Perricard,21,FRA,1580,1.0
30,Matteo Berrettini,28,ITA,1520,5.0
31,Denis Shapovalov,25,CAN,1496,1.0
32,Matteo Arnaldi,24,ITA,1430,2.0
33,Alex Michelsen,20,USA,1420,
34,Lorenzo Sonego,29,ITA,1401,2.0
35,Pedro Martínez,27,ESP,1385,2.0
36,Jordan Thompson,30,AUS,1375,-7.0
37,Nuno Borges,28,POR,1345,2.0
38,Flavio Cobolli,22,ITA,1345,2.0
39,Sebastián Báez,24,ARG,1340,-8.0
40,Gaël Monfils,38,FRA,1280,-2.0
41,Alexandre Müller,28,FRA,1270,19.0
42,Brandon Nakashima,23,USA,1265,-1.0
43,Tomás Martín Etcheverry,25,ARG,1240,
44,Miomir Kecmanović,25,SRB,1236,-2.0
45,Nicolás Jarry,29,CHI,1225,2.0
46,Jan Lennard Struff,34,GER,1200,-2.0
47,Tallon Griekspoor,28,NED,1120,4.0
48,Alejandro Davidovich Fokina,25,ESP,1095,2.0
49,Zhizhen Zhang,28,CHN,1075,
50,Roberto Carballés Baena,31,ESP,1071,3.0
51,Alexander Bublik,27,KAZ,1065,-3.0
52,Marcos Giron,31,USA,1060,
53,Roberto Bautista Agut,36,ESP,1052,1.0
54,Jakub Menšík,19,CZE,1042,-9.0
55,Fábián Marozsán,25,HUN,1035,2.0
56,Zizou Bergs,25,BEL,1035,2.0
57,Jaume Munar,27,ESP,1032,-2.0
58,Juncheng Shang,20,CHN,1025,-2.0
59,Luciano Darderi,23,ITA,985,2.0
60,Yoshihito Nishioka,29,JPN,922,2.0
61,Arthur Rinderknech,29,FRA,911,2.0
62,Benjamin Bonzi,28,FRA,910,2.0
63,David Goffin,34,BEL,906,2.0
64,Mariano Navone,23,ARG,890,-18.0
65,Corentin Moutet,25,FRA,872,1.0
66,Aleksandar Vukic,28,AUS,868,1.0
67,Francisco Comesaña,24,ARG,848,19.0
68,Yunchaokete Bu,23,CHN,847,1.0
69,Camilo Ugo Carabelli,25,ARG,847,22.0
70,Mattia Bellucci,23,ITA,833,
71,Hamad Medjedović,21,SRB,829,2.0
72,Roman Safiullin,27,RUS,823,-1.0
73,Kei Nishikori,35,JPN,793,-1.0
74,Cameron Norrie,29,GBR,784,-15.0
75,Christopher O'Connell,30,AUS,780,7.0
76,Daniel Altmaier,26,GER,768,-2.0
77,Quentin Halys,28,FRA,751,2.0
78,Joao Fonseca,18,BRA,750,-10.0
79,Luca Nardi,21,ITA,749,6.0
80,Botic van de Zandschulp,29,NED,747,7.0
81,Jacob Fearnley,23,GBR,747,
82,Rinky Hijikata,24,AUS,735,-4.0
83,Learner Tien,19,USA,732,-3.0
84,Thanasi Kokkinakis,28,AUS,703,-8.0
85,Aleksandar Kovačević,26,USA,692,-8.0
86,Thiago Seyboth Wild,24,BRA,682,-11.0
87,Jaime Faria,21,POR,674,20.0
88,Márton Fucsovics,33,HUN,666,-4.0
89,Gabriel Diallo,23,CAN,665,-1.0
90,Damir Džumhur,32,BIH,662,7.0
91,Francesco Passaro,24,ITA,658,-2.0
92,Hugo Gaston,24,FRA,636,1.0
93,Fabio Fognini,37,ITA,629,2.0
94,James Duckworth,33,AUS,628,2.0
95,Alexander Shevchenko,24,KAZ,618,8.0
96,Lucas Pouille,31,FRA,616,-2.0
97,Adam Walton,25,AUS,616,-7.0
98,Raphaël Collignon,23,BEL,608,24.0
99,Chun Hsin Tseng,23,TWN,605,26.0
100,Dušan Lajović,34,SRB,592,-17.0
101,Arthur Cazaux,22,FRA,582,-1.0
102,Hugo Dellien,31,BOL,572,6.0
103,Laslo Djere,29,SRB,571,-5.0
104,Christopher Eubanks,28,USA,567,
105,Jesper de Jong,24,NED,562,
106,Nishesh Basavareddy,19,USA,562,
107,Pavel Kotov,26,RUS,560,-5.0
108,Thiago Monteiro,30,BRA,540,-9.0
109,Yannick Hanfmann,33,GER,534,-8.0
110,Billy Harris,30,GBR,534,
111,Otto Virtanen,23,FIN,527,-19.0
112,Pablo Carreño Busta,33,ESP,524,-1.0
113,Tristan Boyer,23,USA,523,-4.0
114,Reilly Opelka,27,USA,516,-2.0
115,Dominik Koepfer,30,GER,508,-2.0
116,Sebastian Ofner,28,AUT,508,-2.0
117,Mackenzie McDonald,29,USA,505,-2.0
118,Kamil Majchrzak,29,POL,504,-2.0
119,Taro Daniel,32,JPN,501,-2.0
120,Nicolas Moreno De Alboran,27,USA,501,-2.0
121,Vít Kopřiva,27,CZE,491,-1.0
122,Alexander Ritschard,30,SUI,480,2.0
123,Juan Manuel Cerúndolo,23,ARG,476,4.0
124,Jozef Kovalík,32,SVK,472,-1.0
125,Daniel Elahi Galán,28,COL,468,1.0
126,Max Purcell,26,AUS,466,-5.0
127,Adrian Mannarino,36,FRA,461,1.0
128,Thiago Agustín Tirante,23,ARG,461,1.0
129,Jérôme Kym,22,SUI,449,3.0
130,Facundo Díaz Acosta,24,ARG,448,-11.0
131,Sumit Nagal,27,IND,448,-1.0
132,Harold Mayot,23,FRA,448,3.0
133,Tristan Schoolkate,23,AUS,446,1.0
134,Román Andrés Burruchaga,23,ARG,442,3.0
135,Federico Agustin Gomez,28,ARG,442,1.0
136,Federico Coria,32,ARG,433,2.0
137,Martin Landaluce,19,ESP,429,-4.0
138,Mitchell Krueger,31,USA,423,2.0
139,Mikhail Kukushkin,37,KAZ,420,4.0
140,Marco Trungelliti,35,ARG,417,6.0
141,Lloyd Harris,27,RSA,416,1.0
142,Ethan Quinn,20,USA,413,2.0
143,Borna Ćorić,28,CRO,410,2.0
144,Brandon Holt,26,USA,409,9.0
145,Tomás Barrios Vera,27,CHI,407,-6.0
146,Richard Gasquet,38,FRA,404,-5.0
147,Cristian Garín,28,CHI,402,-16.0
148,Lukáš Klein,26,SVK,400,3.0
149,Alejandro Moro Cañas,24,ESP,391,-2.0
150,Nikoloz Basilashvili,33,GEO,383,-2.0
151,Grégoire Barrère,31,FRA,381,-1.0
152,Kyrian Jacquet,23,FRA,376,4.0
153,Alexander Blockx,19,BEL,375,5.0
154,Luca Van Assche,20,FRA,372,-2.0
155,Elmer Møller,21,DEN,372,-1.0
156,Yasutaka Uchiyama,32,JPN,365,4.0
157,Terence Atmane,23,FRA,361,4.0
158,Ugo Blanchet,26,FRA,360,6.0
159,Henrique Rocha,20,POR,360,
160,Gustavo Heide,22,BRA,359,2.0
161,Dalibor Svrčina,22,CZE,357,58.0
162,Alexis Galarneau,25,CAN,356,8.0
163,Stan Wawrinka,39,SUI,349,8.0
164,Pierre Hugues Herbert,33,FRA,345,-1.0
165,Duje Ajduković,24,CRO,345,-10.0
166,Coleman Wong,20,HKG,343,-1.0
167,Shintaro Mochizuki,21,JPN,340,1.0
168,Hady Habib,26,LBN,339,-2.0
169,Constant Lestienne,32,FRA,336,3.0
170,Li Tu,28,AUS,336,3.0
171,Calvin Hémery,30,FRA,336,19.0
172,Marc-Andrea Hüsler,28,SUI,334,2.0
173,Rafael Nadal,38,ESP,330,2.0
174,Carlos Taberner,27,ESP,330,3.0
175,Juan Pablo Ficovich,28,ARG,330,3.0
176,Liam Draxl,23,CAN,327,8.0
177,Henri Squire,24,GER,324,2.0
178,Daniel Evans,34,GBR,321,-11.0
179,Radu Albot,35,MDA,319,4.0
180,James Trotter,25,JPN,317,-4.0
181,Yuta Shimizu,25,JPN,317,4.0
182,Timofey Skatov,24,KAZ,316,4.0
183,Valentin Royer,23,FRA,315,5.0
184,Vilius Gaubas,20,LTU,315,-3.0
185,Zachary Svajda,22,USA,314,4.0
186,Facundo Mena,32,ARG,314,1.0
187,Marin Čilić,36,CRO,313,5.0
188,Juan Pablo Varillas,29,PER,312,5.0
189,Eliot Spizzirri,23,USA,311,5.0
190,Sho Shimabukuro,27,JPN,311,5.0
191,Titouan Droguet,23,FRA,310,-9.0
192,Gijs Brouwer,28,NED,308,4.0
193,Alibek Kachmazov,22,RUS,308,4.0
194,Felipe Meligeni Alves,27,BRA,307,-45.0
195,Alex Bolt,32,AUS,307,3.0
196,Jan Choinski,28,GBR,307,3.0
197,Hugo Grenier,28,FRA,306,-28.0
198,Adolfo Daniel Vallejo,20,PAR,300,10.0
199,Maximilian Marterer,29,GER,296,1.0
200,Murkel Dellien,27,BOL,295,-9.0
201,Matteo Gigante,23,ITA,293,-44.0
202,August Holmgren,26,DEN,289,1.0
203,Mark Lajal,21,EST,282,1.0
